# report	pdf	html	format	date — written by generate-pdf.mjs, do not edit
	output/base-resume.pdf	output/base-resume.html	a4	2026-09-25
	output/jobs/job-10l2y3s/cv.pdf	output/jobs/job-10l2y3s/cv.html	a4	2026-09-25
	output/jobs/job-crbu63/cv.pdf	output/jobs/job-crbu63/cv.html	a4	2026-09-25
	output/jobs/job-10jcevb/cv.pdf	output/jobs/job-10jcevb/cv.html	a4	2026-09-25
	output/jobs/job-1sprd0f/cv.pdf	output/jobs/job-1sprd0f/cv.html	a4	2026-09-25
	output/jobs/job-cccvpd/cv.pdf	output/jobs/job-cccvpd/cv.html	a4	2026-09-25
	output/jobs/job-nyv7rq/cv.pdf	output/jobs/job-nyv7rq/cv.html	a4	2026-09-25
	output/jobs/job-vgmpb0/cv.pdf	output/jobs/job-vgmpb0/cv.html	a4	2026-09-25
